
This run from before we select random victim outlier:
|   vals |   SD |   fact | out              | set   |   thresh |   claims |      CR |   CI |    C |
|--------|------|--------|------------------|-------|----------|----------|---------|------|------|
|      3 | 2.25 |      2 | [[1, 2], [2, 3]] | min   |  1.74471 |        2 | 2e-06   | 1.05 | 1.05 |
|      3 | 2.25 |      2 | [[1, 2], [2, 3]] | max   |  1.50857 |      100 | 0.0034  | 0.95 | 0.97 |
|      3 | 2.25 |      2 | [[1, 2], [2, 3]] | max+1 |  1.76923 |      100 | 0.00041 | 1    | 1    |
|      3 | 2.25 |      5 | [[1, 2], [2, 3]] | min   |  1.73746 |        0 | 0       | 1.05 | 1.05 |
|      3 | 2.25 |      5 | [[1, 2], [2, 3]] | max   |  1.70397 |      100 | 0.00079 | 1    | 1    |
|      3 | 2.25 |      5 | [[1, 2], [2, 3]] | max+1 |  1.73016 |      210 | 0.02    | 0.99 | 1    |
|      3 | 2.25 |     10 | [[1, 2], [2, 3]] | min   |  1.80566 |        0 | 0       | 1.05 | 1.05 |
|      3 | 2.25 |     10 | [[1, 2], [2, 3]] | max   |  1.43627 |      924 | 0.092   | 0.99 | 0.99 |
|      3 | 2.25 |     10 | [[1, 2], [2, 3]] | max+1 |  2.10361 |      119 | 0.012   | 1    | 1    |

After random victim outlier:
|   vals |   SD |   fact | out              | set   |   thresh |   claims |      CR |   CI |    C |
|--------|------|--------|------------------|-------|----------|----------|---------|------|------|
|      3 | 2.25 |      2 | [[1, 2], [2, 3]] | min   |  1.75    |        2 | 2e-06   | 1.05 | 1.05 |
|      3 | 2.25 |      2 | [[1, 2], [2, 3]] | max   |  1.5113  |      100 | 0.0029  | 0.97 | 0.98 |
|      3 | 2.25 |      2 | [[1, 2], [2, 3]] | max+1 |  1.56677 |      100 | 0.0089  | 0.97 | 0.98 |
|      3 | 2.25 |      5 | [[1, 2], [2, 3]] | min   |  1.61413 |       39 | 3.9e-05 | 0.92 | 0.95 |
|      3 | 2.25 |      5 | [[1, 2], [2, 3]] | max   |  1.53021 |      137 | 0.014   | 0.99 | 0.99 |
|      3 | 2.25 |      5 | [[1, 2], [2, 3]] | max+1 |  1.654   |      321 | 0.032   | 0.97 | 0.98 |
|      3 | 2.25 |     10 | [[1, 2], [2, 3]] | min   |  1.74706 |        0 | 1e-07   | 1.05 | 1.05 |
|      3 | 2.25 |     10 | [[1, 2], [2, 3]] | max   |  1.44326 |      908 | 0.091   | 0.99 | 0.99 |
|      3 | 2.25 |     10 | [[1, 2], [2, 3]] | max+1 |  2.35942 |      100 | 0.0004  | 1    | 1    |

This is running the same attack again:
|   vals |   SD |   fact | out              | set   |   thresh |   claims |      CR |   CI |    C |
|--------|------|--------|------------------|-------|----------|----------|---------|------|------|
|      3 | 2.25 |      2 | [[1, 2], [2, 3]] | min   |  1.64425 |       12 | 1.2e-05 | 0.75 | 0.83 |
|      3 | 2.25 |      2 | [[1, 2], [2, 3]] | max   |  1.58992 |      100 | 0.00052 | 0.97 | 0.98 |
|      3 | 2.25 |      2 | [[1, 2], [2, 3]] | max+1 |  1.58774 |      100 | 0.0082  | 0.97 | 0.98 |
|      3 | 2.25 |      5 | [[1, 2], [2, 3]] | min   |  1.61137 |       56 | 5.6e-05 | 0.84 | 0.89 |
|      3 | 2.25 |      5 | [[1, 2], [2, 3]] | max   |  1.56832 |      100 | 0.0085  | 0.98 | 0.99 |
|      3 | 2.25 |      5 | [[1, 2], [2, 3]] | max+1 |  1.71972 |      225 | 0.022   | 0.98 | 0.99 |
|      3 | 2.25 |     10 | [[1, 2], [2, 3]] | min   |  1.66988 |       12 | 1.2e-05 | 1    | 1    |
|      3 | 2.25 |     10 | [[1, 2], [2, 3]] | max   |  1.5975  |      387 | 0.039   | 1    | 1    |
|      3 | 2.25 |     10 | [[1, 2], [2, 3]] | max+1 |  2.15546 |      100 | 0.0076  | 1    | 1    |
